@@,itemlabel,item,startdate,enddate
->,غانم عبد الجليل,Q66695421,1974-11-11,1977-01-23->1977
->,عدنان الحمداني->عدنان حسين الحمداني,Q28123938,1978-02-13,1978-04
->,عبد الرزاق الهاشمي->عبد الرزاق قاسم الهاشمي,Q4665684,1981-07-26,1983-12
->,منذر الشاوي->منذر إبراهيم الشاوي,Q56241288,1988->1988-01-16,1991->1991-03-23
->,عبد الرزاق الهاشمي->عبد الرزاق قاسم الهاشمي,Q4665684,1991-03-23,1992-07-30
---,همام عبد الخالق عبد الغفور,Q56882698,1992,1998
+++,همام عبد الخالق عبد الغفور,Q56882698,1992-07-30,1997
->,عبد الجبار توفيق البياتي->عبد الجبار توفيق,Q59592260,1997,2000
---,فهد سالم الشكرة,Q56822723,1997,2003-04-09
---,منذر صلاح,Q99946596,1998-08-09,2002-06-13
---,محمد سعيد الصحاف,Q360015,2001-08-05,2003-04-09
->,همام عبد الخالق عبد الغفور,Q56882698,2001->2000,2003-04-09
->,عبد الرزاق العيسى,Q29512376,2016-08-15,2018-10-25->2018-10-24
---,نبيل كاظم عبد الصاحب,Q99518857,2020-05-07,
