@@,itemlabel,item,startdate,enddate
->,Jafar al-Askari,Q2529157,1923-11-22,1924-08-03->1924-08-02
->,Naji al-Suwaidi->Naji al-Suwaydi,Q4195339,1929-11-18,1930-03-23
->,Sayyid Salih Jabr->Salih Jabr,Q2891334,1947-03-29,1948-01-29
->,Sayyid Muhammad as-Sadr->Muhammad as-Sadr,Q2891034,1948-01-29,1948-06-26
->,Mustafa Mahmud al-Umari,Q6943287,1952-07-12,1952-11-21->1952-11-23
->,Abdul Rahman Arif,Q307393,1967-05-10,1968-07-10->1967-07-10
->,Mohammed Hamza Zubeidi->Mohammad Hamza al-Zubaidi,Q958345,1991-09-16,1993-09-05
->,Ahmed Chalabi->Ahmed al-Chalabi,Q400837,2003-09-01,2003-09-30
->,Adnan Pachachi->Adnan al-Pachachi,Q359766,2004-01-01,2004-01-31
->,Masoud Barzani->Massoud Barzani,Q315927,2004-04-01,2004-04-30
->,Nouri al-Maliki,Q57673,2007-05-20->2006-05-20,2014-09-08
->,Haider Al-Abadi->Haider al-Abadi,Q5639013,2014-09-08,2018-10-25
->,Adil Abdul-Mahdi,Q357116,2018-10-25,2020-05-07->2020-05-06
